what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1348541362097
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1348541362098
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1348541362099
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1348541362102
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1348541362103
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1348541362162
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1348541362207
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1348541362258
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1348541362259
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.core",1348541362261
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1348541362263
started,bundle,org.eclipse.mylyn.commons.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.core",1348541362263
started,bundle,org.eclipse.mylyn.commons.net,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.net",1348541362263
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1348541362264
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1348541362266
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1348541362267
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1348541362269
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1348541362269
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1348541362271
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1348541362272
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1348541362291
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1348541362293
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1348541362310
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1348541362329
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1348541362333
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1348541362335
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1348541362346
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1348541362349
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1348541362351
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1348541362353
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1348541362354
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1348541362356
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1348541362358
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1348541362360
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1348541362374
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1348541362374
started,bundle,org.tigris.subversion.subclipse.core,1.8.16,"org.tigris.subversion.subclipse.core",1348541362374
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1348541362375
started,bundle,org.tigris.subversion.subclipse.ui,1.8.15,"org.tigris.subversion.subclipse.ui",1348541362388
started,bundle,org.eclipse.m2e.discovery,1.1.0.20120530-0009,"org.eclipse.m2e.discovery",1348541362404
os,sysinfo,,,"win32",1348541362413
arch,sysinfo,,,"x86",1348541362413
ws,sysinfo,,,"win32",1348541362413
locale,sysinfo,,,"en_US",1348541362413
processors,sysinfo,,,"2",1348541362413
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348541362413
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1348541362413
java.specification.name,sysinfo,,,"Java Platform API Specification",1348541362413
java.specification.vendor,sysinfo,,,"Oracle Corporation",1348541362413
java.specification.version,sysinfo,,,"1.7",1348541362413
java.vendor,sysinfo,,,"Oracle Corporation",1348541362413
java.version,sysinfo,,,"1.7.0_07",1348541362413
java.vm.info,sysinfo,,,"mixed mode",1348541362413
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1348541362413
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348541362413
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348541362413
java.vm.specification.version,sysinfo,,,"1.7",1348541362413
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348541362413
java.vm.version,sysinfo,,,"23.3-b01",1348541362413
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1348541364842
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1348541364846
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1348541365176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348541365500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348541368325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348541379669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348541381248
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348541381468
